Designator,Footprint,Quantity,Value,LCSC Part #
"C11, C21, C31, C41, C51, C61, C71, C81",1206,8,1µF,
"C12, C22, C32, C42, C52, C62, C72, C82",1206,8,"4,7µF",
"CU11, CU12, CU13, CU21, CU22, CU23, CU31, CU32, CU33, CU41, CU42, CU43",1206,12,100nF,
"D1, D2, D3, D4, D5, D6, D7, D8",1206,8,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380,4,MountingHole,
"J1, J2","TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",2,Conn_01x08_Male,
"R11, R12, R21, R22, R31, R32, R41, R42, R51, R52, R61, R62, R71, R72, R81, R82",1206,16,1kΩ,
"R13, R23, R33, R43, R53, R63, R73, R83",1206,8,33kΩ,
"R14, R24, R34, R44, R54, R64, R74, R84",1206,8,100kΩ,
"R15, R25, R35, R45, R55, R65, R75, R85",1206,8,120Ω,
"RV11, RV12, RV21, RV22, RV31, RV32, RV41, RV42, RV51, RV52, RV61, RV62, RV71, RV72, RV81, RV82",Potentiometer_Bourns_3299Y_Vertical,16,50kΩ,
U1,ProMicro,1,ARDUINO PRO MICRO,
"U11, U21, U31, U41",DIP-14_W7.62mm_LongPads,4,LM324N,
"U12, U22, U32, U42",DIP-14_W7.62mm_LongPads,4,SN74HCT00N,
"U13, U23, U33, U43",DIP-16_W7.62mm_LongPads,4,CD74HC4538E,
