Designator,Mid X,Mid Y,Rotation,Layer
C11,139.7317,-111.2512,180.0,top
C12,166.5942,-48.8162,90.0,top
C21,144.7992,-111.2512,180.0,top
C22,166.5942,-44.1462,270.0,top
C31,149.8917,-111.2512,180.0,top
C32,166.5942,-64.0562,90.0,top
C41,154.9717,-111.2512,180.0,top
C42,166.5942,-59.3862,270.0,top
C51,106.6992,-111.2512,180.0,top
C52,166.5942,-79.2962,90.0,top
C61,111.7792,-111.2512,180.0,top
C62,166.5942,-74.6262,270.0,top
C71,116.8592,-111.2512,180.0,top
C72,166.5942,-94.5362,90.0,top
C81,121.9392,-111.2512,180.0,top
C82,166.5942,-89.8662,270.0,top
CU11,101.6192,-54.1012,180.0,top
CU12,119.8092,-38.8612,0.0,top
CU13,142.6692,-38.8612,0.0,top
CU21,101.6192,-69.3412,180.0,top
CU22,119.8092,-54.1012,0.0,top
CU23,142.6692,-54.1012,0.0,top
CU31,101.6192,-84.5812,180.0,top
CU32,119.8092,-69.3412,0.0,top
CU33,142.6692,-69.3412,0.0,top
CU41,101.6192,-99.8212,180.0,top
CU42,119.8092,-84.5812,0.0,top
CU43,142.6692,-84.5812,0.0,top
D1,63.9308,-42.8637,270.0,top
D2,63.9308,-50.4837,270.0,top
D3,63.9308,-58.1037,270.0,top
D4,63.9308,-65.7237,270.0,top
D5,63.9308,-73.3437,270.0,top
D6,63.9308,-80.9637,270.0,top
D7,63.9308,-88.5837,270.0,top
D8,63.9148,-96.2037,270.0,top
J1,138.6542,-116.5237,0.0,top
J2,105.6342,-116.5237,0.0,top
R11,139.7317,-108.7112,0.0,top
R12,139.7317,-106.1712,180.0,top
R13,164.0542,-48.8287,90.0,top
R14,72.6142,-112.3287,90.0,top
R15,66.2642,-42.8637,270.0,top
R21,144.8117,-108.7112,0.0,top
R22,144.8117,-106.1712,180.0,top
R23,164.0542,-44.1337,270.0,top
R24,75.1542,-112.3287,90.0,top
R25,66.2642,-50.4837,90.0,top
R31,149.8917,-108.7112,0.0,top
R32,149.8917,-106.1712,180.0,top
R33,164.0542,-64.0687,270.0,top
R34,77.6942,-112.3287,90.0,top
R35,66.2642,-58.1037,90.0,top
R41,154.9717,-108.7112,0.0,top
R42,154.9717,-106.1712,180.0,top
R43,164.0542,-59.3737,270.0,top
R44,80.2342,-112.3837,90.0,top
R45,66.2642,-65.7237,90.0,top
R51,106.7242,-108.7112,0.0,top
R52,106.7117,-106.1712,180.0,top
R53,164.0542,-79.3087,270.0,top
R54,82.7742,-112.3287,90.0,top
R55,66.2642,-73.3437,90.0,top
R61,111.7917,-108.7112,0.0,top
R62,111.7917,-106.1712,180.0,top
R63,164.0542,-74.6137,270.0,top
R64,85.3142,-112.3287,90.0,top
R65,66.2642,-80.9637,90.0,top
R71,116.8717,-108.7112,0.0,top
R72,116.8717,-106.1712,180.0,top
R73,164.0542,-94.5487,270.0,top
R74,87.8542,-112.3287,90.0,top
R75,66.2642,-88.5837,90.0,top
R81,121.9642,-108.7112,0.0,top
R82,121.9517,-106.1712,180.0,top
R83,164.0542,-89.8537,270.0,top
R84,90.3942,-112.3287,90.0,top
R85,66.2482,-96.2037,90.0,top
RV11,75.3608,-41.5937,0.0,top
RV12,86.7908,-41.5937,0.0,top
RV21,75.3608,-49.2137,0.0,top
RV22,86.7908,-49.2137,0.0,top
RV31,75.3608,-56.8337,0.0,top
RV32,86.7908,-56.8337,0.0,top
RV41,75.3608,-64.4537,0.0,top
RV42,86.7908,-64.4537,0.0,top
RV51,75.3608,-72.0737,0.0,top
RV52,86.7908,-72.0737,0.0,top
RV61,75.3608,-79.6937,0.0,top
RV62,86.7908,-79.6937,0.0,top
RV71,75.3608,-87.3137,0.0,top
RV72,86.7908,-87.3137,0.0,top
RV81,75.3448,-94.9337,0.0,top
RV82,86.7848,-94.9337,0.0,top
U1,78.9642,-111.2512,0.0,top
U11,95.4742,-50.2912,90.0,top
U12,118.3342,-50.2912,90.0,top
U13,141.1942,-50.2912,90.0,top
U21,95.4742,-65.5312,90.0,top
U22,118.3342,-65.5312,90.0,top
U23,141.1942,-65.5312,90.0,top
U31,95.4742,-80.7712,90.0,top
U32,118.3342,-80.7712,90.0,top
U33,141.1942,-80.7712,90.0,top
U41,95.4742,-96.0112,90.0,top
U42,118.3342,-96.0112,90.0,top
U43,141.1942,-96.0112,90.0,top
